neuron_id,spike_time
0,4496.649999999998 ms
0,4498.999999999998 ms
0,4519.449999999999 ms
0,4522.549999999997 ms
0,4523.249999999998 ms
0,4523.749999999998 ms
0,4527.749999999998 ms
0,4560.649999999998 ms
0,4563.0999999999985 ms
0,4567.199999999997 ms
0,4574.5999999999985 ms
0,4578.649999999998 ms
0,4580.249999999998 ms
0,4588.799999999997 ms
0,4589.999999999998 ms
0,4608.049999999997 ms
0,4611.65 ms
0,4614.999999999998 ms
0,4623.65 ms
0,4625.249999999998 ms
0,4628.299999999999 ms
0,4632.199999999999 ms
0,4644.65 ms
0,4646.799999999997 ms
0,4649.199999999999 ms
0,4654.249999999998 ms
0,4655.8499999999985 ms
0,4670.049999999999 ms
0,4671.5999999999985 ms
0,4684.549999999999 ms
0,4700.8499999999985 ms
0,4715.449999999999 ms
0,4720.199999999999 ms
0,4735.3499999999985 ms
0,4742.899999999998 ms
0,4744.5999999999985 ms
0,4745.8499999999985 ms
0,4746.699999999999 ms
0,4750.65 ms
0,4757.949999999999 ms
0,4763.999999999998 ms
0,4765.65 ms
0,4766.299999999997 ms
0,4772.5999999999985 ms
0,4774.249999999998 ms
0,4782.8499999999985 ms
0,4784.499999999998 ms
0,4798.649999999998 ms
0,4798.799999999997 ms
0,4804.199999999997 ms
0,4805.599999999997 ms
0,4807.449999999997 ms
0,4822.299999999997 ms
0,4823.999999999998 ms
0,4833.149999999996 ms
0,4845.849999999997 ms
0,4859.899999999996 ms
0,4864.599999999997 ms
0,4878.849999999997 ms
0,4879.799999999997 ms
0,4915.299999999997 ms
0,4917.599999999997 ms
0,4933.449999999997 ms
0,4935.449999999997 ms
0,4942.649999999998 ms
0,4947.399999999998 ms
0,4949.199999999997 ms
0,4950.649999999998 ms
0,4951.949999999997 ms
0,4969.399999999998 ms
0,4973.399999999998 ms
0,4983.349999999997 ms
0,4987.449999999997 ms
0,4994.099999999997 ms
0,5021.249999999996 ms
0,5031.449999999997 ms
0,5040.749999999996 ms
0,5064.599999999997 ms
0,5067.799999999997 ms
0,5080.949999999995 ms
0,5081.999999999996 ms
0,5090.349999999997 ms
0,5101.099999999997 ms
0,5102.349999999997 ms
0,5107.499999999996 ms
0,5108.349999999997 ms
0,5108.999999999996 ms
0,5115.599999999997 ms
0,5124.799999999997 ms
0,5129.849999999997 ms
0,5134.949999999997 ms
0,5152.649999999998 ms
0,5153.549999999996 ms
0,5172.549999999996 ms
0,5182.649999999998 ms
0,5184.499999999996 ms
0,5185.499999999996 ms
0,5187.149999999998 ms
0,5203.149999999998 ms
0,5209.349999999997 ms
0,5210.399999999996 ms
0,5215.849999999997 ms
0,5225.899999999996 ms
0,5228.899999999996 ms
0,5229.599999999997 ms
0,5230.799999999997 ms
0,5245.199999999995 ms
0,5247.299999999997 ms
0,5254.899999999996 ms
0,5256.549999999997 ms
0,5259.649999999996 ms
0,5259.799999999997 ms
0,5260.299999999997 ms
0,5270.299999999997 ms
0,5272.749999999996 ms
0,5281.049999999996 ms
0,5282.199999999997 ms
0,5290.499999999996 ms
0,5293.749999999996 ms
0,5296.999999999996 ms
0,5298.349999999997 ms
0,5306.199999999997 ms
0,5329.849999999997 ms
0,5337.299999999997 ms
0,5349.849999999997 ms
0,5355.049999999997 ms
0,5357.599999999997 ms
0,5362.449999999997 ms
0,5363.249999999996 ms
0,5367.0999999999985 ms
0,5367.3499999999985 ms
0,5371.299999999997 ms
0,5376.699999999997 ms
0,5376.799999999997 ms
0,5377.199999999997 ms
0,5386.449999999997 ms
0,5399.099999999997 ms
0,5401.449999999997 ms
0,5408.499999999996 ms
0,5432.449999999997 ms
0,5435.599999999997 ms
0,5437.699999999997 ms
0,5437.849999999997 ms
0,5450.199999999997 ms
0,5453.499999999996 ms
0,5459.199999999997 ms
0,5467.849999999997 ms
0,5477.349999999997 ms
0,5489.949999999997 ms
0,5503.499999999996 ms
0,5505.899999999998 ms
0,5507.499999999996 ms
0,5522.999999999996 ms
0,5524.249999999996 ms
0,5530.149999999998 ms
0,5532.699999999997 ms
0,5534.299999999997 ms
0,5537.249999999998 ms
0,5538.099999999997 ms
0,5551.299999999997 ms
0,5552.599999999997 ms
